,PortCode,PortName
0,101,2586
1,103,2278
2,104,3476
3,105,3386
4,106,3305
5,107,3185
6,108,3416
7,109,3278
8,110,3276
9,112,1068
10,115,3480
11,118,3171
12,127,3203
13,203,3380
14,206,3198
15,209,3308
16,211,3404
17,212,3437
18,701,3266
19,704,3306
20,706,1138
21,708,3263
22,712,3480
23,715,3390
24,901,3480
25,2301,3437
26,2302,3228
27,2303,3437
28,2304,3437
29,2305,3308
30,2307,3222
31,2309,3221
32,2310,3310
33,2402,3478
34,2403,3308
35,2404,3111
36,2406,3305
37,2408,3310
38,2410,261
39,2502,3093
40,2503,3093
41,2504,3179
42,2505,3238
43,2506,3441
44,2507,3480
45,2582,29
46,2601,3308
47,2602,3281
48,2603,3258
49,2604,3480
50,2606,3112
51,2608,3308
52,3004,3437
53,3007,2236
54,3009,3480
55,3010,2049
56,3011,3068
57,3012,3211
58,3013,3175
59,3014,1897
60,3015,3380
61,3016,3413
62,3017,3292
63,3019,3303
64,3020,3312
65,3023,3286
66,3025,3297
67,3102,1963
68,3103,3314
69,3104,3259
70,3106,3251
71,3301,3262
72,3302,3475
73,3306,3255
74,3308,3287
75,3309,3183
76,3310,3480
77,3312,2592
78,3316,3219
79,3317,3177
80,3318,3297
81,3319,3209
82,3321,3117
83,3322,3205
84,3323,2183
85,3325,1751
86,3401,3437
87,3402,1728
88,3403,3480
89,3404,3193
90,3405,3201
91,3406,3412
92,3407,3208
93,3408,3125
94,3409,3265
95,3410,3091
96,3413,3179
97,3414,3193
98,3415,3241
99,3416,3201
100,3417,3211
101,3419,3179
102,3420,3196
103,3421,3215
104,3422,3263
105,3423,3288
106,3424,3320
107,3425,3162
108,3426,3228
109,3430,2215
110,3604,3479
111,3613,3273
112,3801,3458
113,3802,3444
114,3803,3437
115,3814,33
116,4105,10
